Word,Query,alex-marquez--valentino-rossi-dkk-tahu-kecurangan-yamaha,link-live-streaming-barcelona-vs-real-betis-kick-off-22,leeds-united-korban-keputusan-terburuk-sepanjang-sejarah-sepak-bola-,dani-alves-menyesal-pernah-perkuat-juventus,hasil-barcelona-vs-real-betis-dwigol-messi-ikut-hancurkan-tim-tamu,link-live-streaming-everton-vs-man-united-kick-off-19,bilang-messi-sulit-diatur-setien-diserang-legenda-barcelona,respons-dovizioso-saat-tahu-rossi-cs-luput-dari-sanksi-penalti,jadwal-motogp-eropa-balapan-dimulai-tepat-pukul-20,hasil-kualifikasi-motogp-eropa-pol-espargaro-pole-position-yamaha-merana
stasiun,0,0,0,0,0,0,1,0,0,0,0
televisi,0,0,0,0,0,0,1,0,0,0,0
nasion,0,0,0,0,0,0,1,0,0,0,0
tayangan,0,0,0,0,0,0,1,0,0,0,0
mola,0,0,0,0,0,0,1,0,0,0,0
tv,0,0,0,0,0,0,1,0,0,0,0
klik,0,0,0,0,0,0,1,0,0,0,0
sini,0,0,0,0,0,0,1,0,0,0,0
komentar,0,0,0,0,0,0,0,2,0,0,0
mire,0,0,0,0,0,0,0,1,0,0,0
quiqu,0,0,0,0,0,0,0,2,0,0,0
setien,0,0,0,0,0,0,0,9,0,0,0
soal,0,0,0,0,0,0,0,1,3,0,0
kembali,0,0,0,0,0,0,0,1,0,1,0
sanggahan,0,0,0,0,0,0,0,1,0,0,0
kali,0,0,0,0,0,0,0,1,0,2,0
datang,0,0,0,0,0,0,0,1,0,0,0
legenda,0,0,0,0,0,0,0,1,0,0,0
rivaldo,0,0,0,0,0,0,0,3,0,0,0
belum,0,0,0,0,0,0,0,2,0,0,0
terlibat,0,0,0,0,0,0,0,1,0,0,0
wawancara,0,0,0,0,0,0,0,2,0,0,0
madrid,0,0,0,0,0,0,0,1,0,0,0
vicent,0,0,0,0,0,0,0,1,0,0,0
del,0,0,0,0,0,0,0,1,0,0,0
bosqu,0,0,0,0,0,0,0,1,0,0,0
el,0,0,0,0,0,0,0,1,0,0,0
pai,0,0,0,0,0,0,0,1,0,0,0
berbicara,0,0,0,0,0,0,0,1,0,0,0
beberapa,0,0,0,0,0,0,0,1,1,0,0
mengenai,0,0,0,0,0,0,0,1,1,0,0
sosok,0,0,0,0,0,0,0,1,0,0,0
kapten,0,0,0,0,0,0,0,1,0,0,0
menurut,0,0,0,0,0,0,0,2,0,0,0
terbaik,0,0,0,0,0,0,0,1,0,0,0
dunia,0,0,0,0,0,0,0,1,0,1,0
menandinginya,0,0,0,0,0,0,0,1,0,0,0
harga,0,0,0,0,0,0,0,1,0,0,0
mati,0,0,0,0,0,0,0,1,0,0,0
dkk,0,0,0,0,0,0,0,1,2,0,0
sedikit,0,0,0,0,0,0,0,1,0,0,0
merendahkan,0,0,0,0,0,0,0,1,0,0,0
la,0,0,0,0,0,0,0,1,0,0,0
pulga,0,0,0,0,0,0,0,1,0,0,0
menilai,0,0,0,0,0,0,0,1,0,0,0
megabintang,0,0,0,0,0,0,0,1,0,0,0
argentina,0,0,0,0,0,0,0,1,0,0,0
merupakan,0,0,0,0,0,0,0,1,0,1,0
sulit,0,0,0,0,0,0,0,4,0,0,0
diatur,0,0,0,0,0,0,0,2,0,0,0
siapalah,0,0,0,0,0,0,0,1,0,0,0
mengubahnya,0,0,0,0,0,0,0,2,0,0,0
telah,0,0,0,0,0,0,0,1,0,0,0
menerima,0,0,0,0,0,0,0,1,0,0,0
apa,0,0,0,0,0,0,0,2,0,0,0
adanya,0,0,0,0,0,0,0,1,0,0,0
bertahun,0,0,0,0,0,0,0,1,0,0,0
aspek,0,0,0,0,0,0,0,1,0,0,0
lain,0,0,0,0,0,0,0,1,3,0,0
luar,0,0,0,0,0,0,0,1,0,0,0
lebih,0,0,0,0,0,0,0,2,1,0,0
dikelola,0,0,0,0,0,0,0,1,0,0,0
jauh,0,0,0,0,0,0,0,1,0,0,0
lagi,0,0,0,0,0,0,0,1,0,0,0
ditud,0,0,0,0,0,0,0,1,0,0,0
pemala,0,0,0,0,0,0,0,1,0,0,0
pasang,0,0,0,0,0,0,0,1,0,0,0
badan,0,0,0,0,0,0,0,1,0,0,0
menanggapi,0,0,0,0,0,0,0,1,0,0,0
percaya,0,0,0,0,0,0,0,1,1,0,0
entrenador,0,0,0,0,0,0,0,1,0,0,0
memang,0,0,0,0,0,0,0,1,0,0,0
bandel,0,0,0,0,0,0,0,1,0,0,0
seharusnya,0,0,0,0,0,0,0,1,0,0,0
melaporkan,0,0,0,0,0,0,0,1,0,0,0
pihak,0,0,0,0,0,0,0,1,0,0,0
sejak,0,0,0,0,0,0,0,1,0,0,0
andrea,0,0,0,0,0,0,0,0,2,0,0
dovizioso,0,0,0,0,0,0,0,0,4,0,0
heran,0,0,0,0,0,0,0,0,2,0,0
mengapa,0,0,0,0,0,0,0,0,4,0,0
luput,0,0,0,0,0,0,0,0,1,0,0
lolo,0,0,0,0,0,0,0,0,1,0,0
keempatnya,0,0,0,0,0,0,0,0,1,0,0
aman,0,0,0,0,0,0,0,0,1,0,0
meskipun,0,0,0,0,0,0,0,0,2,0,0
terkena,0,0,0,0,0,0,0,0,1,0,0
melanggar,0,0,0,0,0,0,0,0,1,0,0
regulasi,0,0,0,0,0,0,0,0,1,0,0
membuat,0,0,0,0,0,0,0,0,1,0,0
bertanya,0,0,0,0,0,0,0,0,1,0,0
tanya,0,0,0,0,0,0,0,0,1,0,0
mata,0,0,0,0,0,0,0,0,1,0,0
dovi,0,0,0,0,0,0,0,0,3,0,0
aneh,0,0,0,0,0,0,0,0,2,0,0
sangat,0,0,0,0,0,0,0,0,1,1,0
detailnya,0,0,0,0,0,0,0,0,1,0,0
ucap,0,0,0,0,0,0,0,0,1,0,0
dilansir,0,0,0,0,0,0,0,0,1,0,0
motorsport,0,0,0,0,0,0,0,0,1,0,0
joan,0,0,0,0,0,0,0,0,1,3,0
mir,0,0,0,0,0,0,0,0,1,4,0
diri,0,0,0,0,0,0,0,0,1,0,0
hadapi,0,0,0,0,0,0,0,0,1,0,0
tekanan,0,0,0,0,0,0,0,0,1,0,0
detail,0,0,0,0,0,0,0,0,1,0,0
sudah,0,0,0,0,0,0,0,0,1,0,0
penjelasan,0,0,0,0,0,0,0,0,1,0,0
imbuhnya,0,0,0,0,0,0,0,0,1,0,0
prote,0,0,0,0,0,0,0,0,2,0,0
mengerti,0,0,0,0,0,0,0,0,1,0,0
mengajukan,0,0,0,0,0,0,0,0,1,0,0
masuk,0,0,0,0,0,0,0,0,1,0,0
akal,0,0,0,0,0,0,0,0,1,0,0
ducati,0,0,0,0,0,0,0,0,1,0,0
paham,0,0,0,0,0,0,0,0,1,0,0
mungkin,0,0,0,0,0,0,0,0,1,0,0
pahami,0,0,0,0,0,0,0,0,1,0,0
tutur,0,0,0,0,0,0,0,0,1,0,0
selain,0,0,0,0,0,0,0,0,1,0,0
buka,0,0,0,0,0,0,0,0,1,0,0
suara,0,0,0,0,0,0,0,0,1,0,0
luputnya,0,0,0,0,0,0,0,0,1,0,0
valencia,0,0,0,0,0,0,0,0,0,2,0
balapan,0,0,0,0,0,0,0,0,0,7,1
minggu,0,0,0,0,0,0,0,0,0,1,0
tepat,0,0,0,0,0,0,0,0,0,1,0
kejuaraan,0,0,0,0,0,0,0,0,0,1,0
ricardo,0,0,0,0,0,0,0,0,0,2,1
tomo,0,0,0,0,0,0,0,0,0,2,0
lengkap,0,0,0,0,0,0,0,0,0,1,0
beserta,0,0,0,0,0,0,0,0,0,1,0
grid,0,0,0,0,0,0,0,0,0,3,0
tersedia,0,0,0,0,0,0,0,0,0,1,0
terdepan,0,0,0,0,0,0,0,0,0,1,0
diisi,0,0,0,0,0,0,0,0,0,1,0
pol,0,0,0,0,0,0,0,0,0,1,2
espargaro,0,0,0,0,0,0,0,0,0,1,2
red,0,0,0,0,0,0,0,0,0,1,1
bull,0,0,0,0,0,0,0,0,0,1,1
ktm,0,0,0,0,0,0,0,0,0,1,1
rin,0,0,0,0,0,0,0,0,0,3,1
suzuki,0,0,0,0,0,0,0,0,0,1,1
ecstar,0,0,0,0,0,0,0,0,0,1,1
takaaki,0,0,0,0,0,0,0,0,0,1,1
nakagami,0,0,0,0,0,0,0,0,0,1,1
lcr,0,0,0,0,0,0,0,0,0,1,1
honda,0,0,0,0,0,0,0,0,0,1,1
tentu,0,0,0,0,0,0,0,0,0,1,0
menguntungkan,0,0,0,0,0,0,0,0,0,1,0
berambisi,0,0,0,0,0,0,0,0,0,1,0
melanjutkan,0,0,0,0,0,0,0,0,0,1,0
performa,0,0,0,0,0,0,0,0,0,1,0
apiknya,0,0,0,0,0,0,0,0,0,1,0
selalu,0,0,0,0,0,0,0,0,0,1,0
naik,0,0,0,0,0,0,0,0,0,1,0
podium,0,0,0,0,0,0,0,0,0,1,0
tanggapi,0,0,0,0,0,0,0,0,0,1,1
sindiran,0,0,0,0,0,0,0,0,0,1,1
marc,0,0,0,0,0,0,0,0,0,1,1
rekan,0,0,0,0,0,0,0,0,0,1,0
berpotensi,0,0,0,0,0,0,0,0,0,1,0
memperkuat,0,0,0,0,0,0,0,0,0,1,0
posisinya,0,0,0,0,0,0,0,0,0,1,0
seusai,0,0,0,0,0,0,0,0,0,1,0
sebab,0,0,0,0,0,0,0,0,0,1,0
urutan,0,0,0,0,0,0,0,0,0,3,3
memimpin,0,0,0,0,0,0,0,0,0,1,0
unggul,0,0,0,0,0,0,0,0,0,1,0
angka,0,0,0,0,0,0,0,0,0,1,0
peluang,0,0,0,0,0,0,0,0,0,1,0
memperlebar,0,0,0,0,0,0,0,0,0,1,0
jarak,0,0,0,0,0,0,0,0,0,1,0
memulai,0,0,0,0,0,0,0,0,0,1,1
seakan,0,0,0,0,0,0,0,0,0,1,0
mimpi,0,0,0,0,0,0,0,0,0,1,0
duo,0,0,0,0,0,0,0,0,0,1,1
yakni,0,0,0,0,0,0,0,0,0,1,0
senang,0,0,0,0,0,0,0,0,0,1,0
factori,0,0,0,0,0,0,0,0,0,0,1
berhak,0,0,0,0,0,0,0,0,0,0,1
meraih,0,0,0,0,0,0,0,0,0,0,1
pole,0,0,0,0,0,0,0,0,0,0,1
posit,0,0,0,0,0,0,0,0,0,0,1
lap,0,0,0,0,0,0,0,0,0,0,2
tercepat,0,0,0,0,0,0,0,0,0,0,2
kualifikasi,0,0,0,0,0,0,0,0,0,0,5
mengukir,0,0,0,0,0,0,0,0,0,0,1
detik,0,0,0,0,0,0,0,0,0,0,1
sesi,0,0,0,0,0,0,0,0,0,0,3
tormo,0,0,0,0,0,0,0,0,0,0,1
mengungguli,0,0,0,0,0,0,0,0,0,0,1
idemitsu,0,0,0,0,0,0,0,0,0,0,1
ketiga,0,0,0,0,0,0,0,0,0,0,1
tampil,0,0,0,0,0,0,0,0,0,0,1
q,0,0,0,0,0,0,0,0,0,0,2
bahkan,0,0,0,0,0,0,0,0,0,0,1
rela,0,0,0,0,0,0,0,0,0,0,1
belakang,0,0,0,0,0,0,0,0,0,0,1
ungkapan,0,0,0,0,0,0,0,0,0,0,1
terima,0,0,0,0,0,0,0,0,0,0,1
kasih,0,0,0,0,0,0,0,0,0,0,1
garrett,0,0,0,0,0,0,0,0,0,0,1
gerloff,0,0,0,0,0,0,0,0,0,0,1
miguel,0,0,0,0,0,0,0,0,0,0,1
oliveira,0,0,0,0,0,0,0,0,0,0,1
johann,0,0,0,0,0,0,0,0,0,0,1
zarco,0,0,0,0,0,0,0,0,0,0,1
